Control Number,Control Title,Purpose,Control Type,Main Category,Framework
DE.CM-1.2,Event Logging,To ensure that security events are logged for later analysis.,Detective,DE.CM,NIST
DE.DP-1,Data Protection,To prevent unauthorized data access and maintain security.,Detective,DE.DP,NIST
DE.DP-1.1,Data Usage Monitoring,To protect data from unauthorized access.,Detective,DE.DP,NIST
RS.RP-1,Incident Response Planning,To ensure that incidents are handled promptly and appropriately.,Corrective,RS.RP,NIST
RS.RP-1.1,Incident Classification,To ensure incidents are appropriately categorized for effective response.,Corrective,RS.RP,NIST
RS.CO-1,Communication during Incident,To ensure proper communication during a security incident.,Corrective,RS.CO,NIST
RS.CO-1.1,Incident Reporting,To ensure that incidents are communicated to the appropriate stakeholders.,Corrective,RS.CO,NIST
RC.RP-1,Recovery Planning,To ensure that the organization can recover from incidents and maintain business continuity.,Corrective,RC.RP,NIST
RC.RP-1.1,Business Continuity Planning,To minimize downtime and business impact during an incident.,Corrective,RC.RP,NIST
RC.IM-1,Improvement,To ensure continuous improvement in the organization’s recovery capabilities.,Corrective,RC.IM,NIST
RC.IM-1.1,Post-Incident Review,To ensure that lessons are learned and integrated into future responses.,Corrective,RC.IM,NIST
AC-1,Access Control Policy and Procedures,To ensure that access control policies are established and enforced.,Preventive,AC,NIST
AC-1.1,Access Control Implementation,To ensure that access control policies are consistently enforced.,Preventive,AC,NIST
AU-2,Audit Events,To ensure that events are monitored for security analysis.,Detective,AU,NIST
AU-2.1,Event Collection,To ensure that relevant security events are captured.,Detective,AU,NIST
